"sequence","category","product_hint","source_filename","file_name","relative_path","public_url","bytes","sha256"
"00001","vestuario","abada personalizado 520x735mm em tecido dry fit 4x0 impressao ultra hd sublimatica tamanho p costura","00001_524x524-1-abada-personalizado-520x735mm-em-tecido-dry-fit-4x0-impressao-ultra-hd-sublimatica-tamanho-p-costura_124182.webp","00001-abada-personalizado-520x735mm-em-tecido-dry-fit-4x0-imp.webp","vestuario/00001-abada-personalizado-520x735mm-em-tecido-dry-fit-4x0-imp.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/vestuario/00001-abada-personalizado-520x735mm-em-tecido-dry-fit-4x0-imp.webp","12658","748489103138b944007d2fe4091eda2ad959383929e9b994b586b32f63578e6b"
"00002","personalizados-e-brindes","abridor de garrafas com ima vermelho copa 50x105mm em plastico 4x0 sem enobrecimento modelo padrao","00002_524x524-1-abridor-de-garrafas-com-ima-vermelho-copa-50x105mm-em-plastico-4x0-sem-enobrecimento-modelo-padrao_57731.webp","00002-abridor-de-garrafas-com-ima-vermelho-copa-50x105mm-em-p.webp","personalizados-e-brindes/00002-abridor-de-garrafas-com-ima-vermelho-copa-50x105mm-em-p.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/personalizados-e-brindes/00002-abridor-de-garrafas-com-ima-vermelho-copa-50x105mm-em-p.webp","11378","4725cd84d507ffdd4b2635f71c4318b26e5333d2c95451df52a172fd51d6a919"
"00003","personalizados-e-brindes","abridor de garrafas personalizado 50x105mm em plastico 4x0 sem enobrecimento com ima","00003_524x524-1-abridor-de-garrafas-personalizado-50x105mm-em-plastico-4x0-sem-enobrecimento-com-ima_25518_849.webp","00003-abridor-de-garrafas-personalizado-50x105mm-em-plastico.webp","personalizados-e-brindes/00003-abridor-de-garrafas-personalizado-50x105mm-em-plastico.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/personalizados-e-brindes/00003-abridor-de-garrafas-personalizado-50x105mm-em-plastico.webp","11278","d373627788eeeafaf457a30029168041eb2f61d3309d8d859adce70171aeef09"
"00004","adesivos-e-rotulos","adesivo cm2 copa em vinil adesivo branco brilho 120g 4x0 sem enobrecimento refile","00004_524x524-1-adesivo-cm2-copa-em-vinil-adesivo-branco-brilho-120g-4x0-sem-enobrecimento-refile_57180.webp","00004-adesivo-cm2-copa-em-vinil-adesivo-branco-brilho-120g-4x.webp","adesivos-e-rotulos/00004-adesivo-cm2-copa-em-vinil-adesivo-branco-brilho-120g-4x.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00004-adesivo-cm2-copa-em-vinil-adesivo-branco-brilho-120g-4x.webp","13356","9d300ba3b1e93067d0c8b913d02fef9daddcbea6135d56ea15bf4380ed181508"
"00005","adesivos-e-rotulos","adesivo cm2 em vinil adesivo branco fosco 120g 4x0 sem enobrecimento rolo meio corte personalizado","00005_524x524-1-adesivo-cm2-em-vinil-adesivo-branco-fosco-120g-4x0-sem-enobrecimento-rolo-meio-corte-personalizado_30648_890.webp","00005-adesivo-cm2-em-vinil-adesivo-branco-fosco-120g-4x0-sem.webp","adesivos-e-rotulos/00005-adesivo-cm2-em-vinil-adesivo-branco-fosco-120g-4x0-sem.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00005-adesivo-cm2-em-vinil-adesivo-branco-fosco-120g-4x0-sem.webp","18000","346d6021b54dcabf8ec81c0d40058001c7ce743742ac8481efdf16b2795e9919"
"00006","adesivos-e-rotulos","adesivo cm2 em vinil transparente 150g 4x0 sem enobrecimento meio corte personalizado","00006_524x524-1-adesivo-cm2-em-vinil-transparente-150g-4x0-sem-enobrecimento-meio-corte-personalizado_14164_537.webp","00006-adesivo-cm2-em-vinil-transparente-150g-4x0-sem-enobreci.webp","adesivos-e-rotulos/00006-adesivo-cm2-em-vinil-transparente-150g-4x0-sem-enobreci.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00006-adesivo-cm2-em-vinil-transparente-150g-4x0-sem-enobreci.webp","14524","dfccfdc868be3f9dca1990b4fcd4a14af223724a657da970dca9e2efcabe2802"
"00007","adesivos-e-rotulos","adesivo de porta 600x2100mm em vinil branco fosco 120g 4x0 sem enobrecimento refile_71670 3","00007_524x524-1-adesivo-de-porta-600x2100mm-em-vinil-branco-fosco-120g-4x0-sem-enobrecimento-refile_71670-3.webp","00007-adesivo-de-porta-600x2100mm-em-vinil-branco-fosco-120g.webp","adesivos-e-rotulos/00007-adesivo-de-porta-600x2100mm-em-vinil-branco-fosco-120g.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00007-adesivo-de-porta-600x2100mm-em-vinil-branco-fosco-120g.webp","11416","4a12a493d0220c0f2b281a5e30e2bdacca78897006aa47f49b543d73436fa57f"
"00008","adesivos-e-rotulos","adesivo fosforescente personalizado 204x184mm em vinil adesivo fosforecente 140g 4x0 sem enobrecimento cartela meio cort","00008_524x524-1-adesivo-fosforescente-personalizado-204x184mm-em-vinil-adesivo-fosforecente-140g-4x0-sem-enobrecimento-cartela-meio-cort","00008-adesivo-fosforescente-personalizado-204x184mm-em-vinil.webp","adesivos-e-rotulos/00008-adesivo-fosforescente-personalizado-204x184mm-em-vinil.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00008-adesivo-fosforescente-personalizado-204x184mm-em-vinil.webp","27324","c829cdfec764077c93f752449b6fac80235aa0cd64f7cc106c8c4383d0d7b511"
"00009","adesivos-e-rotulos","adesivo recorte eletronico plotado em vinil amarelo brilho 150g sem impressao sem enobrecimento meio corte personalizado","00009_524x524-1-adesivo-recorte-eletronico-plotado-em-vinil-amarelo-brilho-150g-sem-impressao-sem-enobrecimento-meio-corte-personalizado","00009-adesivo-recorte-eletronico-plotado-em-vinil-amarelo-bri.webp","adesivos-e-rotulos/00009-adesivo-recorte-eletronico-plotado-em-vinil-amarelo-bri.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00009-adesivo-recorte-eletronico-plotado-em-vinil-amarelo-bri.webp","13452","3cef7e36e19fffb7fe0d9ad7f020f9f6b02477ff6251db7525813dc4c74987dc"
"00010","adesivos-e-rotulos","adesivo vidro traseiro copa 330x770mm em vinil perfurado 120g 4x0 sem enobrecimento refile","00010_524x524-1-adesivo-vidro-traseiro-copa-330x770mm-em-vinil-perfurado-120g-4x0-sem-enobrecimento-refile_57188.webp","00010-adesivo-vidro-traseiro-copa-330x770mm-em-vinil-perfurad.webp","adesivos-e-rotulos/00010-adesivo-vidro-traseiro-copa-330x770mm-em-vinil-perfurad.webp","https://raw.githubusercontent.com/copyeprintlaranjeiras-droid/copy-e-print-assets/main/home/produtos/catalogo-futuraim/adesivos-e-rotulos/00010-adesivo-vidro-traseiro-copa-330x770mm-em-vinil-perfurad.webp","24846","890fc01bfb714b7bd8784c9d21d2374138197ca5628d2d555919941b86fbc857"
